family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Feature-Based,FA_none,RNN,9,0.0,2.9213522217772456,0.0,0.0,2.9213522217772456
Feature-Based,FA_none,LSTM,9,0.0,3.453530350000316,0.0,0.0,3.453530350000316
Feature-Based,FA_none,Transformer,9,0.0,5.583930172000085,0.0,0.0,5.583930172000085
Feature-Based,CORAL_none,RNN,9,0.0,2.9337059909998464,0.0017965097779071443,0.0,2.9355025007777535
Feature-Based,CORAL_none,LSTM,9,0.0,3.4330540174446975,0.0005611508887441666,0.0,3.4336151683334415
Feature-Based,CORAL_none,Transformer,9,0.0,5.5689311902222265,0.000585022111004489,0.0,5.569516212333231
Feature-Based,CCSA_tsw,RNN,9,0.0,2.7654301223337825,4.291199972309793e-05,0.0,2.7654730343335054
Feature-Based,CCSA_tsw,LSTM,9,0.0,3.3134523493334,4.3924889016327346e-05,0.0,3.313496274222416
Feature-Based,CCSA_tsw,Transformer,9,0.0,5.291300785555803,4.3820222547057914e-05,0.0,5.291344605778351
Feature-Based,CCSA_tsbw,RNN,9,0.0,2.795194183332973,5.0153555599131825e-05,0.0,2.7952443368885724
Feature-Based,CCSA_tsbw,LSTM,9,0.0,3.3330812057776913,4.929511083496941e-05,0.0,3.3331305008885264
Feature-Based,CCSA_tsbw,Transformer,9,0.0,5.275651286333515,5.648433357742356e-05,0.0,5.2757077706670925
Feature-Based,DeepCORAL_tsbw,RNN,9,0.0,2.6150618032220843,5.096933333940493e-05,0.0,2.6151127725554235
Feature-Based,DeepCORAL_tsbw,LSTM,9,0.0,3.2038350309996733,5.1301221901667304e-05,0.0,3.203886332221575
Feature-Based,DeepCORAL_tsbw,Transformer,9,0.0,5.12151450977803,5.1698333158532885e-05,0.0,5.121566208111188
Feature-Based,CCSA_none,RNN,9,0.0,2.607947972444486,0.0,0.0,2.607947972444486
Feature-Based,CCSA_none,LSTM,9,0.0,3.1304164961111383,0.0,0.0,3.1304164961111383
Feature-Based,CCSA_none,Transformer,9,0.0,5.090583404110981,0.0,0.0,5.090583404110981
Feature-Based,DeepCORAL_tsw,RNN,9,0.0,2.6303344207782278,4.435755545273423e-05,0.0,2.6303787783336805
Feature-Based,DeepCORAL_tsw,LSTM,9,0.0,3.174261796666744,4.2611444061751375e-05,0.0,3.174304408110806
Feature-Based,DeepCORAL_tsw,Transformer,9,0.0,5.079081666666955,4.494333330108525e-05,0.0,5.079126610000255
Feature-Based,DeepCORAL_none,RNN,9,0.0,2.462648603111221,0.0,0.0,2.462648603111221
Feature-Based,DeepCORAL_none,LSTM,9,0.0,3.0053380104446763,0.0,0.0,3.0053380104446763
Feature-Based,DeepCORAL_none,Transformer,9,0.0,4.881088134888866,0.0,0.0,4.881088134888866
Instance-Based,ULSIF+TSW,RNN,9,0.0,3.143149289666528,0.48244401600004494,0.0,3.625593305666573
Instance-Based,ULSIF+TSW,LSTM,9,0.0,3.631987005999892,0.17706566588882802,0.0,3.80905267188872
Instance-Based,ULSIF+TSW,Transformer,9,0.0,5.745333451110936,0.9299503355554811,0.0,6.675283786666417
Instance-Based,KMM+TSBW,RNN,9,0.0,3.1069637247778195,0.8475350718886653,0.0,3.954498796666485
Instance-Based,KMM+TSBW,LSTM,9,0.0,3.620983603333318,0.8359726493332952,0.0,4.456956252666613
Instance-Based,KMM+TSBW,Transformer,9,0.0,5.803458935333462,0.8600216940000488,0.0,6.6634806293335105
Instance-Based,KMM+TSW,RNN,9,0.0,3.114873182444373,0.8322771827778424,0.0,3.9471503652222157
Instance-Based,KMM+TSW,LSTM,9,0.0,3.5908558508890565,0.8362666916665249,0.0,4.427122542555582
Instance-Based,KMM+TSW,Transformer,9,0.0,5.797747772555542,0.8556810177780991,0.0,6.653428790333641
