family,method,model,n_runs,total_params,trainable_params,frozen_params
Parameter-Based,Partial-FT-Last,RNN,9,12737,8385,4352
Parameter-Based,Partial-FT-Last,LSTM,9,50753,33345,17408
Parameter-Based,Source Model + Target Calibration,RNN,9,12737,0,12737
Parameter-Based,Source Model + Target Calibration,LSTM,9,50753,0,50753
Parameter-Based,Source Model + Target Calibration,Transformer,9,67201,0,67201
Parameter-Based,Source-to-Target Linear Mapping,RNN,9,12737,0,12737
Parameter-Based,Source-to-Target Linear Mapping,LSTM,9,50753,0,50753
Parameter-Based,Source-to-Target Linear Mapping,Transformer,9,67201,0,67201
Parameter-Based,Target-Only,RNN,9,12737,12737,0
Parameter-Based,Target-Only,LSTM,9,50753,50753,0
Parameter-Based,Target-Only,Transformer,9,67201,67201,0
Parameter-Based,Target-Priority Joint FT (tsbw),RNN,9,12737,12737,0
Parameter-Based,Target-Priority Joint FT (tsbw),LSTM,9,50753,50753,0
Parameter-Based,Target-Priority Joint FT (tsbw),Transformer,9,67201,67201,0
Parameter-Based,Target-Priority Joint FT (tsw),RNN,9,12737,12737,0
Parameter-Based,Target-Priority Joint FT (tsw),LSTM,9,50753,50753,0
Parameter-Based,Target-Priority Joint FT (tsw),Transformer,9,67201,67201,0
Parameter-Based,Thresholded Label-Aware FT (tsbw),RNN,9,12737,12737,0
Parameter-Based,Thresholded Label-Aware FT (tsbw),LSTM,9,50753,50753,0
Parameter-Based,Thresholded Label-Aware FT (tsbw),Transformer,9,67201,67201,0
Parameter-Based,Thresholded Label-Aware FT (tsw),RNN,9,12737,12737,0
Parameter-Based,Thresholded Label-Aware FT (tsw),LSTM,9,50753,50753,0
Parameter-Based,Thresholded Label-Aware FT (tsw),Transformer,9,67201,67201,0
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),RNN,9,12737,12737,0
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),LSTM,9,50753,50753,0
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),Transformer,9,67201,67201,0
Parameter-Based,Thresholded Label-Aware Source Training (tsw),RNN,9,12737,12737,0
Parameter-Based,Thresholded Label-Aware Source Training (tsw),LSTM,9,50753,50753,0
Parameter-Based,Thresholded Label-Aware Source Training (tsw),Transformer,9,67201,67201,0
